name,image
صحن دائري صغير,01.jpg
صحن دائري كبير,02.jpg
علبة طعام مستطيلة,03.jpg
علبة بلاستيك شفافة,04.jpg
سطل نفايات صغير,05.jpg
سطل نفايات كبير,06.jpg
كوب شاي بلاستيك,07.jpg
كوب قهوة صغير,08.jpg
صحن تقديم متوسط,09.jpg
علبة حفظ طعام,10.jpg
سلة بلاستيك مستطيلة,11.jpg
كوب عصير شفاف,12.jpg
صحن عميق بلاستيك,13.jpg
وعاء بلاستيك ملون,14.jpg
سطل بلاستيك شفاف,15.jpg
كوب شفاف بنقشة,16.jpg
علبة بلاستيك مربعة,17.jpg
صينية تقديم صغيرة,18.jpg
كوب شاي متوسط,19.jpg
سطل متوسط الحجم,20.jpg
اقلاص النخلة ع 240,21.jpg
بالدي 11 لتر,22.jpg
بالدي شفاف عشرة لتر,23.jpg
بالدي عشرة لتر ملون,24.jpg
بالدي قمامة مروحة ستة لتر /ع 12,25.jpg
بالدي قمامة مروحة عشرة لتر,26.jpg
بالدي مصب,27.jpg
بانيو أطفال,28.jpg
براميل 30 لتر,29.jpg
براميل 50 لتر,30.jpg
براميل 70 لتر,31.jpg
براميل 90 لتر,32.jpg
برميل 120 لتر,33.jpg
برميل 30 شفاف,34.jpg
برميل 40 لتر,35.jpg
برميل 60 لتر,36.jpg
برميل 80 لتر,37.jpg
بوالد 13 لتر,38.jpg
بوالد 18 شفاف,39.jpg
بوالد 18 لتر,40.jpg
بوالد 2,41.jpg
بوالد 22 لتر,42.jpg
بوالد 2شفاف,43.jpg
بوالد 3  شفاف ع 54,44.jpg
بوالد 3,45.jpg
بوالد 5  شفاف,46.jpg
بوالد 5  ,47.jpg
بوالد 7 ,48.jpg
بوالد 7 شفاف,49.jpg
بوالد 9 ,50.jpg
بوالد 9 شفاف,51.jpg
بوالد خلطة,52.jpg
بيلم فرادة عجين,53.jpg
برش حمام كروي,54.jpg
برش حمام مقوس ,55.jpg
برش كاوية,56.jpg
جاك البركة,57.jpg
جاك الفا,58.jpg
جاك الوطنية قصير 1.5 لتر,59.jpg
جاك الوطنية قصير 1.5 لتر,60.jpg
جاك الوطنيه 2500 ملي ,61.jpg
جاك الوطنيه 4  لتر,62.jpg
جاك جامبو,63.jpg
جفنة,64.jpg
رف خضار,65.jpg
رف خضار رباعي,66.jpg
رف خضار نجوم,67.jpg
رف صابون بودرة ,68.jpg
رف صابون مزدوج ,69.jpg
رف صحون افقي 1,70.jpg
رف صحون افقي 2,71.jpg
رف صحون افقي 3,72.jpg
رف صحون عمودي1,73.jpg
رف صحون عمودي2,74.jpg
زاوية حمام / ع 10,75.jpg
سحاب بلاط الوطنية,76.jpg
سعافة سقف / ع 24,77.jpg
سلة التاج ع 12,78.jpg
سلة الزهرة ع 36,79.jpg
سلة الغسيل,80.jpg
سلة الواحة / ع 84,81.jpg
سلة تسوق الوطنية,82.jpg
سلة رغيف /عبوة 72,83.jpg
سلة رغيف رقم 1 / ع 72,84.jpg
سلة رغيف رقم 2 / ع 120,85.jpg
سلة سمك ديلوكس مكينة 10,86.jpg
سلة سندوتش,87.jpg
سلة شبك مستطيل / ع 36,88.jpg
سلة غسيل نجوم 2001,89.jpg
سلة فواكه / شبك / ع120,90.jpg
سلة قمامة / عشرة لتر/ ع36,91.jpg
سلة قمامة عشرة لتر فضي ع 36,92.jpg
سلة قمامة مع الطوق ع 36,93.jpg
سلة ملاعق الوطنية ع 90,94.jpg
سلة مهملات ستة لتر / ع 36,95.jpg
صحف 60,96.jpg
صحف 90,97.jpg
صحن الوطنية 2888,98.jpg
صحن الوطنية 3788,99.jpg
صحن تقديم مدور مع المقبض ع 36,100.jpg
صحن قطر 20سم ع 144,101.jpg
صحن مدور كبير ع 96,102.jpg
صحن مدور وسط,103.jpg
صحون تقديم ع 36,104.jpg
صندوق مكياج بلاستيك ع 24,105.jpg
طاولة مجالس الوطنية ع 10,106.jpg
طشت 100,107.jpg
طشت 401,108.jpg
طشت 402,109.jpg
طشت 403,110.jpg
طشت 404,111.jpg
طشت 405,112.jpg
طقم مكنس مع الملف / ع 30,113.jpg
طوق سلة قمامة,114.jpg
علب 180 ملي ع 108,115.jpg
علب 350 ملي,116.jpg
علب 350 ملي,117.jpg
علب اسطواني 215 ملي,118.jpg
علب بخور المهل /فضي/ البيضاء  / ع 120,119.jpg
علب بخور ثماني / فضي ع 300,120.jpg
علب بخور ثماني شفاف ع 300,121.jpg
علب بخور ثماني ع 300,122.jpg
علب بخور سداسي فضي ع 300,123.jpg
علب بخور سعودي / فضي ع 270,124.jpg
علب بخور سعودي بني ع 270,125.jpg
علب بخور سعودي ع 270,126.jpg
علب حافظ  1005,127.jpg
علب حافظ  رقم 1001,128.jpg
علب حافظ  رقم 1002,129.jpg
علب حافظ  رقم 1003,130.jpg
علب حافظ  رقم 1004,131.jpg
علب حافظ  رقم 1008,132.jpg
علب حافظ رقم 1006,133.jpg
علب شفاف 1000 ملي دائري ع/96,134.jpg
علب شفاف 1007,135.jpg
علب شفاف 1009,136.jpg
علب شفاف 500 ملي ع 147ح,137.jpg
علبة شفاف 3 لتر / ع 36,138.jpg
علبة شفاف4 لتر ع 24,139.jpg
علبة صابون / ع 72,140.jpg
علبة مكسرات  ,141.jpg
عياشات 13 ع 24,142.jpg
عياشات 18 ع 18,143.jpg
عياشات 22 شفاف,144.jpg
عياشات 30 ع 18,145.jpg
عياشات 50,146.jpg
عياشات 9 ع 36,147.jpg
عياشة 203 شفاف ع 18,148.jpg
عياشة 203 ملون ع 18,149.jpg
عياشة 204  شفاف ع 12,150.jpg
عياشة 204 ملون ع 12,151.jpg
عياشة 22 ملون /ع 12,152.jpg
فرادة عجين صغير / ع 10,153.jpg
فرادة عجين صغير / فضي ع 10,154.jpg
فرادة عجين كبير ع 8,155.jpg
فرادة عجين كبير فضي / ع 8,156.jpg
قصريات اطفال / ع 36,157.jpg
قضيب سحاب بلاط,158.jpg
قلص قهوة / ع 360,159.jpg
قلص مع اليد,160.jpg
قنينة 50 ملي ع 240,161.jpg
كراسي ترامس صيني ع 24,162.jpg
كرسي البرنس / ابيض / بيج,163.jpg
كرسي البرنس / ملون,164.jpg
كرسي النخلة / ملون,165.jpg
كرسي النخلة ابيض / بيج,166.jpg
كرسي ترامس / القدس ع 12,167.jpg
كرسي ترمس بيضاوي ع 12,168.jpg
كرسي ترمس خيزران ع 24,169.jpg
كرسي ترمس مربع رقم 1 / ع 24,170.jpg
كرسي ترمس مربع رقم 2 / ع24,171.jpg
كرسي تسريحة,172.jpg
كرسي مع اليد / ملون,173.jpg
كرسي مع اليد ابيض,174.jpg
كرسي مع اليد بيج,175.jpg
مخابط ذباب,176.jpg
مدق هون ع 24,177.jpg
مرايا قلب  22*24.5 / ع18,178.jpg
مرايا مربع 26.5*33 / ع12,179.jpg
مرايا مربع مقاس 27*26 سم ع 12,180.jpg
مشن ارز / ع 36,181.jpg
مشن حوض مطبخ الوطنية  / ع24ح,182.jpg
مصب زيت مودل 105,183.jpg
مصب قطر 15 سم عبوة 288 ح,184.jpg
مصب قطر 20 سم,185.jpg
مطايب 5,186.jpg
مطايب 7,187.jpg
مطايب البركة,188.jpg
مطايب عدن ع 144,189.jpg
مطايب نورة ع 360,190.jpg
معاجن القدس,191.jpg
معاجن المدينة -3 / ع 36,192.jpg
معاجن مكة 1 / ع 36,193.jpg
معاجن مكة 2 / ع 36,194.jpg
معاجن مكة 3 / ع 18,195.jpg
معاجن مكة 4 / ع 18,196.jpg
معاجن مودل 101 / ع36,197.jpg
معاجن مودل 102 / ع36,198.jpg
معاجن مودل 103 / ع48,199.jpg
معاجن مودل 104 / ع48,200.jpg
معاجن مودل 105 / ع 36,201.jpg
معالق ثياب  خماسي ملون / ع 84,202.jpg
معالق ثياب اطفال,203.jpg
معالق فساتين ع 300,204.jpg
مغارف البرنس ع 120,205.jpg
مغارف ثماني,206.jpg
مغارف صغير عادي ع 120,207.jpg
مغارف قلب ع 120,208.jpg
مكنس سوري (عدن),209.jpg
مكنسة البرنس / ع 24,210.jpg
مكنسة التاج  / ع 24,211.jpg
مكنسة رقم 3 / ع 24,212.jpg
ملاعق بهارات,213.jpg
ملف كنس 101 ع 48,214.jpg
ملف كنس قلب,215.jpg
ملف كنس مع العصا,216.jpg
ملف كنس موديل 102 ع 36,217.jpg
ملف كنس موديل 102 ع 36,218.jpg
موب الوطنية ع 24,219.jpg
